FISHID	FAMILY	SIRE	DAM	SEX	LICE	WEIGHT	LENGHT
B322_0054	FB132	L2M20111	L2F20671	1	13	1.806179974	2.257678575
B322_0067	AT020	L2M20171	L2F21741	0	21	2.008600172	2.328379603
B322_0012	FL142	L2M20261	L2F23414	1	4	2.103803721	2.367355921
B322_0023	DO093	L2M20111	L2F21054	1	34	1.973127854	2.31386722
B322_0078	HA183	L2M20276	L2F22157	0	16	2.079181246	2.336459734
B322_0095	CS071	L2M20285	L2F22476	1	13	1.886490725	2.264817823
B322_0162	CV074	L2M20285	L2F22872	0	20	1.934498451	2.292256071
B322_0172	EL116	L1M10002	L2F23517	0	17	1.963787827	2.29666519
B322_0185	GT176	L2M20325	L2F22608	0	21	2.045322979	2.342422681
B322_0032	HA183	L2M20276	L2F22157	0	49	2.033423755	2.334453751
B322_0029	EY129	L2M20276	L2F22429	1	4	1.897627091	2.283301229
B322_0051	HA183	L2M20276	L2F22157	0	32	2.133538908	2.369215857
B322_0066	GT176	L2M20325	L2F22608	1	41	2.071882007	2.352182518
B322_0013	GR174	L2M20327	L2F23481	0	10	2.113943352	2.338456494
B322_0080	HI191	L2M20257	L2F21389	1	26	1.986771734	2.31386722
B322_0096	FL142	L2M20261	L2F23414	0	29	2.096910013	2.359835482
B322_0163	FO145	L2M20255	L2F22374	1	18	2.008600172	2.309630167
B322_0173	HI191	L2M20257	L2F21389	1	34	2.08278537	2.354108439
B322_0190	GT176	L2M20325	L2F22608	1	16	2.021189299	2.322219295
B322_0039	FJ140	L2M20171	L2F21694	0	25	2.012837225	2.320146286
B322_0041	HN196	L2M20360	L2F23949	1	19	2.285557309	2.428134794
B322_0065	AT020	L2M20171	L2F21741	1	45	2.10720997	2.352182518
B322_0076	CS071	L2M20285	L2F22476	0	47	1.903089987	2.276461804
B322_0014	DZ104	L2M20379	L2F24288	1	6	2.155336037	2.354108439
B322_0053	CQ069	L2M20288	L2F22496	1	22	1.995635195	2.320146286
B322_0708	ER122	L2M20172	L2F21005	1	39	2.096910013	2.344392274
B322_0705	GT176	L2M20325	L2F22608	0	17	1.977723605	2.322219295
B322_0009	DG085	L2M20325	L2F22572	0	6	1.986771734	2.320146286
B322_0015	GX180	L2M20271	L2F21995	1	5	1.897627091	2.281033367
