FISHID	SIRE	DAM	SEX
B322_0295	L2M20182	L2F20756	1
B322_0463	L2M20285	L2F22872	0
B322_0490	L2M20275	L2F22528	1
B322_0050	L2M20308	L2F22756	0
B322_0441	L2M20257	L2F22055	0
B322_0447	L1M10002	L2F23517	0
B322_0479	L2M20288	L2F22514	1
B322_0474	L2M20261	L2F23414	0
B322_0469	L2M20327	L2F23443	0
B322_0482	L2M20300	L2F22827	0
B322_0418	L1M10002	L2F23517	1
B322_0419	L2M20257	L2F22055	0
B322_0225	L2M20275	L2F22528	0
B322_0646	L2M20182	L2F20756	1
B322_0048	L2M20285	L2F22872	0
B322_0197	L2M20285	L2F22872	0
B322_0406	L2M20261	L2F22907	0
B322_0405	L2M20257	L2F22055	0
B322_0476	L2M20172	L2F21075	1
B322_0478	L2M20382	L2F24283	1
B322_0489	L2M20111	L2F20671	0
B322_0413	L2M20285	L2F22476	0
B322_0433	L2M20257	L2F21389	1
B322_0674	L2M20255	L2F22374	0
B322_0635	L2M20171	L2F21741	0
B322_0670	L2M20255	L2F23226	1
B322_0683	L2M20125	L2F20598	1
B322_0689	L2M20288	L2F22514	1
B322_0671	L2M20241	L2F21811	1
B322_0665	L2M20379	L2F24288	1
B322_0675	L2M20195	L2F21010	1
B322_0654	L2M20111	L2F20671	1
B322_0667	L2M20285	L2F22476	0
B322_0658	L2M20276	L2F22157	0
B322_0679	L1M10002	L2F23517	1
B322_0690	L2M20232	L2F22244	0
B322_0634	L2M20255	L2F23226	1
B322_0662	L2M20300	L2F22809	1
B322_0694	L2M20039	L2F20682	1
B322_0650	L2M20171	L2F21694	0
B322_0693	L2M20220	L2F22306	0
B322_0629	L2M20276	L2F22157	1
B322_0666	L1M10002	L2F23517	0
B322_0633	L2M20220	L2F22306	1
B322_0657	L2M20172	L2F21075	0
B322_0682	L2M20261	L2F23414	0
B322_0691	L2M20300	L2F22827	1
B322_0686	L2M20111	L2F20671	0
B322_0661	L2M20300	L2F22827	1
B322_0625	L2M20257	L2F21389	1
B322_0692	L2M20360	L2F24065	0
B322_0678	L2M20232	L2F22244	1
B322_0649	L2M20039	L2F20682	1
B322_0209	L2M20111	L2F20671	0
B322_0205	L2M20275	L2F22142	0
B322_0207	L2M20111	L2F21054	0
B322_0204	L2M20220	L2F22306	0
B322_0211	L2M20232	L2F22244	0
B322_0232	L2M20325	L2F22608	0
B322_0260	L2M20171	L2F21741	0
B322_0255	L2M20327	L2F23481	1
B322_0236	L2M20255	L2F22374	0
B322_0252	L2M20276	L2F22157	0
B322_0256	L2M20275	L2F22142	0
B322_0262	L2M20261	L2F22907	0
B322_0258	L2M20327	L2F23443	0
B322_0231	L2M20257	L2F22055	1
B322_0229	L2M20172	L2F21005	1
B322_0254	L2M20257	L2F22055	0
B322_0261	L2M20220	L2F22306	1
B322_0234	L2M20327	L2F23481	1
B322_0264	L2M20241	L2F21811	0
B322_0257	L2M20285	L2F22476	0
B322_0235	L2M20257	L2F21389	1
B322_0247	L2M20125	L2F20598	1
B322_0239	L2M20285	L2F22476	1
B322_0240	L2M20379	L2F24287	0
B322_0253	L2M20171	L2F21694	1
B322_0238	L1M10002	L2F23517	1
B322_0237	L1M10002	L2F23517	0
B322_0242	L2M20255	L2F23226	1
B322_0250	L2M20232	L2F22244	0
B322_0241	L2M20382	L2F24283	0
B322_0243	L2M20261	L2F23414	1
B322_0245	L2M20379	L2F24288	0
B322_0249	L2M20360	L2F24065	0
B322_0296	L2M20171	L2F21694	1
B322_0221	L2M20255	L2F23226	1
B322_0226	L2M20285	L2F22476	0
B322_0291	L2M20111	L2F20671	0
B322_0228	L2M20360	L2F24065	1
B322_0292	L2M20276	L2F22429	1
