Ind	Years	Lots	F.Weight	Hue.g	Ethylene	RI	TA	Glucose	Fructose	Sucrose	Citric.A.	Malic.A.
GoMo-B005	2006	1	71.7	68.4	4.69	15.8	23.74	1.62	0.75	7.18	22.68	5.34
GoMo-B005	2006	2	71.8	66.88	7.2	17.4	23.99	1.51	0.74	8.63	24.52	5.93
GoMo-B005	2006	3	60.3	64.29	8.2	16.9	20.29	1.81	0.82	8.11	24.41	5.47
GoMo-B006	2006	1	67.6	81.13	4.74	12.6	24.24	1.46	0.59	5.75	25.22	5.95
GoMo-B006	2006	2	64.9	78.12	7.67	14	25.01	1.22	0.46	7.1	24.74	5.84
GoMo-B006	2006	3	65.6	74.43	8.17	14.8	23.1	1.29	0.41	7.34	23.38	5.8
GoMo-B007	2006	1	57.4	74.83	4.32	13.9	24.3	1.97	0.72	6.1	24.88	5.05
GoMo-B007	2006	2	63.9	71.8	3.04	15.5	27.19	1.87	0.66	5.93	26.09	5.86
GoMo-B007	2006	3	76.4	68.77	4.57	15.1	23.08	1.92	0.62	6.25	22.41	5.05
GoMo-B008	2006	1	59.7	86.24	7.85	12.7	19.28	1.94	0.58	5.82	17.31	5.8
GoMo-B008	2006	2	61.6	88.15	7.42	12.5	21.24	1.92	0.57	5.55	20.58	5.66
GoMo-B008	2006	3	56.4	85.65	8.5	12.9	20.92	1.91	0.59	6.26	19.2	5.92
GoMo-B009	2006	1	67.85	82.41	7.9	10.6	23.24	1.26	0.74	5.84	19.53	8
GoMo-B009	2006	2	67.35	75.14	8.39	12.7	20.76	1.4	0.8	6.87	18.38	7.44
GoMo-B009	2006	3	70.35	75.53	8.62	13.3	17.97	1.39	0.74	7.29	13.8	6.02
GoMo-B009	2006	1	61.28	85.72	7.9	11.1	20.71	1.35	0.71	5.43	19.09	7.94
GoMo-B009	2006	2	69.05	85.33	8.29	10.4	19.79	1.32	0.75	5.86	13.68	6.24
GoMo-B009	2006	3	74.55	77.85	8.66	12.3	17.99	1.29	0.75	6.42	13.36	6.23
GoMo-B010	2006	1	81.4	78.96	6.16	12.2	27.47	1.22	0.6	4.91	25.14	7.41
GoMo-B010	2006	2	92.8	77.77	7.66	13.7	24.13	1.17	0.62	6.74	21.54	8.65
GoMo-B010	2006	3	82.9	75.32	8.27	15	23.44	1.27	0.62	7.62	19.63	6.85
GoMo-B011	2006	1	66.9	80.44	4.36	12.6	26.81	1.79	0.62	5.9	20.81	10.68
GoMo-B011	2006	2	77.8	77.25	6.26	14	25.45	1.83	0.62	6.64	19.82	9.47
GoMo-B011	2006	3	81.8	73.51	7.78	13.1	23.31	1.82	0.66	6.77	15.06	6.75
GoMo-B014	2006	1	92.8	91.91	4.37	10.8	26.18	1.82	0.97	5.4	22.46	8.34
GoMo-B014	2006	2	77.1	86.11	7.83	12.9	22.81	1.49	1.09	6.64	18.58	6.51
GoMo-B014	2006	3	93.1	88.87	7.63	12.5	23.14	1.68	0.85	5.8	19.69	7.76
GoMo-B016	2006	1	70	91.63	4.44	10.5	30.25	1.76	1	3.82	28.8	5.56
GoMo-B016	2006	2	67.2	81.59	8.19	12.1	29.85	1.78	1.14	5.07	28.72	5.31
GoMo-B016	2006	3	68.3	80.89	8.62	12.7	27.4	1.82	1.13	5.29	27.93	4.98
GoMo-B018	2006	1	55.8	70.39	3.43	16.6	20.76	2.57	1.37	7.01	16.5	11.67
GoMo-B018	2006	2	56.3	66.44	4.04	17	17.75	3.1	1.74	8.11	15.81	11.25
GoMo-B018	2006	3	54.4	66.71	4.08	16.9	18.38	2.81	1.6	9.22	16.63	10.88
GoMo-B020	2006	1	60.7	66.58	5.56	14.4	14.68	2.1	1.21	5.96	15.44	6.49
GoMo-B020	2006	2	77.4	66.5	6.39	14.7	12.88	2.03	1.09	6.85	13.9	5.9
GoMo-B020	2006	3	67.7	64.99	7.62	15.4	11.27	2.05	1.18	7.64	12.65	6.19
GoMo-B021	2006	1	79.5	73.3	3.18	17.3	17.85	2.35	1.45	7.41	18.13	7.76
GoMo-B021	2006	2	71.4	66.47	3.33	18.2	14.69	2.5	1.54	7.73	16.24	7.9
GoMo-B021	2006	3	80.4	72.22	4.99	15.5	18.82	2.13	1.34	7.71	19.18	7.68
GoMo-B022	2006	1	76.4	78.09	3.87	13.3	26.29	1.36	0.47	6.19	22.89	8.07
GoMo-B022	2006	2	60.3	79.45	6.94	15.2	24.99	1.43	0.87	6.81	14.11	9.88
