Ind	Years	Lots	F.Weight	Hue.g	Ethylene	RI	TA	Glucose	Fructose	Sucrose	Citric.A.	Malic.A.
GoMo-C026	2007	2	39.7	68.59	7.9	15.5	31.08	1.26	0.66	8.14	24.61	14.4
GoMo-C026	2007	3	55.5	69.43	8.48	14.2	30.74	1.26	0.64	7.35	26.8	10.89
GoMo-C027	2007	1	47	77.85	5.61	14.3	25.44	2.04	0.97	6.58	23.05	8.93
GoMo-C027	2007	2	56.7	76.37	5.7	13.8	24.52	2.08	0.84	5.84	23.25	8
GoMo-C027	2007	3	55	70.9	7.19	16	24.6	2.44	1.05	7.98	22.59	8.75
GoMo-C030	2007	1	37.1	67.68	5.49	16.8	27.95	1.71	0.87	8.75	24.45	10.64
GoMo-C030	2007	2	41.8	68.06	6.06	16.8	28.64	1.61	0.79	8.42	24.76	9.17
GoMo-C030	2007	3	37.7	67.33	7.74	19.2	26.01	1.73	0.98	10.69	22.81	9.25
GoMo-C031	2007	1	37.5	84.85	5.7	11.6	19	1.73	0.73	5.8	16.56	7.46
GoMo-C031	2007	2	39.5	80.99	6.69	12.1	20.31	1.86	0.64	5.39	18.34	7.01
GoMo-C031	2007	3	34.7	72.87	7.32	13.5	17.77	2.01	0.77	7.08	16.15	6.82
GoMo-C035	2007	1	58.6	84.91	3.87	12.7	26.18	1.57	0.52	6.5	19.97	10.43
GoMo-C035	2007	2	65.9	81.11	4.43	13	27.1	1.73	0.54	6.72	21.94	9.45
GoMo-C035	2007	3	58.4	77.09	5.53	14.4	22.25	2.08	0.63	7.46	18.13	8.06
GoMo-C036	2007	1	59.5	78.11	3.71	10.8	26.17	1.43	0.65	5.65	20.94	8.36
GoMo-C036	2007	2	57	77.05	4.01	12.2	24.12	1.7	0.74	6.09	19.72	7.95
GoMo-C036	2007	3	61.5	74.17	7.18	12.5	24.33	1.27	0.56	5.9	19.87	7.3
GoMo-C037	2007	1	47.5	72.43	6.16	9.8	26.78	1.52	0.73	4.88	25.63	8.96
GoMo-C037	2007	2	62.3	76.74	7.78	13.9	24.65	1.29	0.56	6.47	19.36	8.29
GoMo-C037	2007	3	48	69.25	7.8	15.2	22.16	1.52	0.81	7.39	20.46	8.28
GoMo-C041	2007	1	62	86.12	7.12	12.4	33.82	1.34	0.67	5.21	30.9	8.56
GoMo-C041	2007	2	71.1	82.81	8.04	13	31.41	1.3	0.65	6.01	27.41	8.33
GoMo-C041	2007	3	70.1	81.56	8.17	13.1	28.51	1.29	0.55	6.61	26.07	7.16
GoMo-C042	2007	1	59.3	81.16	3.83	14.2	20.64	1.1	0.77	7.05	16.2	9.22
GoMo-C042	2007	2	66.8	79.55	5.09	14.1	20.48	1.2	0.83	7.39	22.01	12.56
GoMo-C042	2007	3	63.4	77.01	6.84	14.6	18.96	1.02	0.74	7.63	20.46	11.6
GoMo-C048	2007	1	43.2	71.35	3.33	12	22.77	1.42	0.69	5.21	15.92	12.58
GoMo-C048	2007	2	43.1	69.1	4.54	13.6	24.62	1.39	0.78	6.72	17.37	13.39
GoMo-C048	2007	3	55.1	69.04	5.02	13.2	22.75	1.3	0.64	7.29	16.92	11.75
GoMo-C049	2007	1	71.9	76.23	4.03	11.2	24.86	1.37	0.62	5.01	30.48	8.91
GoMo-C049	2007	2	84.8	72.42	6.76	10.5	23.23	1.48	0.66	6.01	31.55	10.04
GoMo-C049	2007	3	82.9	71.73	7.14	11.5	20.22	1.38	0.54	5.52	24.85	7.91
GoMo-C050	2007	1	46.7	71.05	7.59	10.4	26.12	1.66	0.95	3.76	30.41	10.18
GoMo-C050	2007	2	47.5	69.08	8.43	11.2	23.48	1.72	1.03	4.3	27.63	9.21
GoMo-C050	2007	3	50.2	69.55	8.82	12	20.58	1.85	1.05	4.84	24.34	8.34
GoMo-C052	2007	1	51.6	84.96	5.56	10.5	29.26	1.41	0.73	5.37	22.55	10.48
GoMo-C052	2007	2	57.6	82.63	7.1	12.8	28.65	1.6	0.86	6.21	23.34	10.56
GoMo-C052	2007	3	53.5	80.82	7.75	13.7	29.39	1.41	0.74	6.95	23.8	10.92
GoMo-C053	2007	1	54.1	77.21	4.25	11.7	32.68	1.46	0.72	5.47	28.52	8
GoMo-C053	2007	2	59.1	76.74	5.2	12	32.33	1.64	0.72	5.77	28.34	8.06
GoMo-C053	2007	3	62.5	74.49	6.54	12.8	30.92	1.65	0.7	6	28.56	7.84
GoMo-C056	2007	1	49.3	73.65	4.37	13.6	23.23	1.71	0.92	5.3	21.43	8.77
GoMo-C056	2007	2	46.2	68.59	7.14	14.6	25.57	1.61	0.76	7.23	22.22	8.64
GoMo-C056	2007	3	65.7	68.06	8.04	14.5	21.85	1.59	0.65	7.8	19.53	7.11
GoMo-C060	2007	1	63.9	74.48	6.43	11.9	32.61	1.73	0.92	5.36	32.36	6.97
GoMo-C060	2007	2	69.5	72.65	7.67	12.8	31.58	1.64	0.82	5.48	28.3	6.24
GoMo-C060	2007	3	71.3	73.54	7.7	13.6	30.3	1.59	0.77	5.82	27.1	6.84
GoMo-C061	2007	1	44	83.42	5.03	13	31.74	1.32	0.82	5.36	28.39	8.34
GoMo-C061	2007	2	42.2	75.3	7.07	13.8	27.62	1.32	0.76	6.41	24.46	7.3
GoMo-C061	2007	3	44.8	72.59	7.34	13.6	27.3	1.32	0.72	6.56	23.91	7.71
GoMo-C062	2007	1	46.2	82.81	3.04	10.9	30.48	1.32	0.69	4.33	24.84	10.25
GoMo-C062	2007	2	46.8	78.86	3.47	11.9	30.21	1.4	0.7	4.99	22.19	10.15
GoMo-C062	2007	3	47.2	75.64	3.85	12.7	29.4	1.61	0.69	5.78	24.41	8.86
GoMo-C063	2007	1	54.3	74.05	3.04	12.8	32.2	1.35	0.73	5.37	26.56	8.96
GoMo-C063	2007	2	59.8	71.53	4.52	13.8	27.57	1.5	0.74	6.43	23.3	8.79
GoMo-C063	2007	3	54.5	69.73	7.29	14.6	26.29	1.62	0.7	7.21	22.46	8.34
GoMo-C064	2007	1	55.5	71.69	7.64	11.6	24.11	1.62	0.82	5.26	19.94	7.74
GoMo-C064	2007	2	53.4	72.2	7.93	11.9	22.77	1.58	0.77	5.17	19.78	6.79
GoMo-C064	2007	3	59.1	70.91	8.37	13	22.01	1.76	0.82	6.16	19.19	7.39
GoMo-C067	2007	1	40.5	88.21	6.45	15.6	36.95	1.76	1.14	6.39	27.51	12.1
GoMo-C067	2007	2	34.6	85.59	7.25	16.6	35.42	1.79	1.15	6.35	25.8	11.15
GoMo-C067	2007	3	33.1	82.36	7.83	16.2	33.75	1.72	1.2	6.26	26.21	11.03
GoMo-C069	2007	1	52.8	76.92	5	13.4	25.74	1.5	0.85	5.42	24.88	7.37
GoMo-C069	2007	2	51.1	76.52	7.61	14.3	26.22	1.53	0.87	7.6	21.07	9.78
GoMo-C069	2007	3	60.5	70.71	7.88	15.5	23.08	1.6	0.78	7.69	20.4	7.44
GoMo-C071	2007	1	45.3	76.55	4.99	13.2	32.68	0.88	0.88	5.23	24.39	13.87
GoMo-C071	2007	2	49.8	69.48	4.8	13.5	30.69	1.19	0.96	6.62	22.59	13.39
GoMo-C071	2007	3	57	77.35	5.54	13.9	28.75	1.06	0.95	6.66	22.5	11.75
GoMo-C072	2007	1	41.4	76.68	5.9	13.7	28.89	1.77	1.08	5.56	22.18	10.31
GoMo-C072	2007	2	40.9	74.83	7.22	14.7	23.52	1.82	0.95	5.64	19.5	9.16
GoMo-C072	2007	3	44.7	72.32	8.41	15.5	23.08	1.56	0.97	7.54	19.21	8.87
GoMo-C073	2007	1	56.8	87.84	6.29	10.7	33.47	1.48	0.76	5.2	20.64	11.77
GoMo-C073	2007	2	61.8	85.87	7.42	11.6	33.09	1.43	0.77	5.87	20.09	11.51
GoMo-C073	2007	3	62.6	84.28	7.92	12.4	31.68	1.64	0.87	6.31	17.46	11.5
GoMo-C074	2007	1	64.6	70.48	5.79	13.5	32.02	1.06	0.75	5.35	25.79	9.61
GoMo-C074	2007	2	67.1	71.55	7.59	14.2	29.65	1.16	0.75	6.79	24.42	8.29
GoMo-C074	2007	3	70.7	71.38	8.01	14.9	28.86	1.24	0.96	7.57	25.05	7.57
GoMo-C075	2007	1	38.7	70.59	6.81	13.4	27.63	1.83	0.83	5.7	31.56	8.06
GoMo-C075	2007	2	36.9	70.32	8.1	14.6	27.11	1.89	0.85	6.95	37.86	8.39
GoMo-C075	2007	3	34.7	70.52	8.56	15.3	25.21	1.98	0.89	7.12	29.76	7.11
GoMo-C077	2007	1	34.2	75.2	4.29	16.3	30.92	2.4	1.17	7.59	23.71	10.43
GoMo-C077	2007	2	36.6	76.63	5.7	16.2	30.87	2.04	0.99	6.88	25.49	10.35
GoMo-C077	2007	3	41.6	73.87	6.9	17	29.35	2.49	1.24	9.16	24.42	11.51
GoMo-C078	2007	1	49.8	79.68	4.28	13.1	30.5	1.52	0.84	5.16	22.24	10.05
GoMo-C078	2007	2	51.2	75.86	6.16	14.7	29.52	1.68	0.97	6.88	21.87	10.16
GoMo-C078	2007	3	53.6	78.04	6.26	14.7	28.72	1.75	0.97	6.83	21.22	10.43
GoMo-C080	2007	1	42.4	80.43	5.59	16	24.32	2.36	1.36	6.89	18.26	10.75
GoMo-C080	2007	2	44.7	80.29	6.97	16.1	26.4	2.26	1.29	6.97	20.36	9.87
GoMo-C080	2007	3	43.4	76.67	7.74	18.7	23.58	2.49	1.34	8.06	17.98	9.32
GoMo-C081	2007	1	44.4	72.41	6.38	12.9	29	1.47	0.7	6.19	25.19	6.83
GoMo-C081	2007	2	45.4	71.97	7.63	12.9	28.74	1.29	0.63	6.62	25.24	6.33
GoMo-C081	2007	3	49.9	69.37	8.45	13.7	26.84	1.35	0.6	6.46	25.31	5.67
GoMo-C083	2007	1	51.6	73.59	4.25	16.9	25.59	2.11	1.03	8.78	19.35	11.15
GoMo-C083	2007	2	50.6	74.12	5.14	17.2	24.75	2.04	0.95	8.38	18.07	11.01
GoMo-C083	2007	3	35.3	74.51	6.77	18.5	26.22	2.18	1.01	9.86	19.47	11.81
GoMo-C085	2007	1	33.6	83.7	7.7	11.5	31.31	1.61	0.46	4.49	45.26	6.99
GoMo-C085	2007	2	34.2	82.43	8.52	11.7	29.84	1.72	0.47	4.27	27.77	6.26
GoMo-C085	2007	3	33.5	79.31	9	12.6	28.02	1.74	0.45	4.77	27.06	6.24
GoMo-C086	2007	1	65.6	79.03	5.54	13.1	32.97	1.51	0.5	7.49	28.52	8.88
GoMo-C086	2007	2	60.2	76.29	6.96	14.1	32.89	1.47	0.55	7.58	27.72	9.82
GoMo-C086	2007	3	85.4	78.19	6.79	12.9	32.53	1.23	0.39	7.2	28.61	7.64
GoMo-C087	2007	1	37.1	73.44	4.58	14.6	32.28	1.57	0.57	5.76	29.81	7.12
GoMo-C087	2007	2	43.5	71.69	6.97	13.8	33.02	1.59	0.57	6.32	27.95	7.12
GoMo-C087	2007	3	37.9	71.15	7.9	14.6	33.15	1.71	0.53	6.07	29.56	6.91
GoMo-C089	2007	1	67.2	69.28	4.33	12	32.05	1.36	0.53	5.2	29.52	6.9
GoMo-C089	2007	2	75.1	67.34	7.17	12.5	30.22	1.43	0.55	6.09	27.86	6.28
GoMo-C089	2007	3	79.3	68.13	7.74	13.4	27.99	1.43	0.5	6.91	26.33	6.59
GoMo-C090	2007	1	40.8	81.21	4.57	15.2	37.62	1.52	0.37	5.01	27.68	13.07
GoMo-C090	2007	2	46.2	80.33	5.18	15.5	34.7	1.66	0.77	8.07	29.5	11.57
GoMo-C090	2007	3	49.7	79.43	5.91	17.5	32.55	1.59	0.72	8.23	24.88	10.4
GoMo-C093	2007	1	38.7	82.09	6.35	15.4	32.03	1.87	1.11	7.1	25.8	10.56
GoMo-C093	2007	2	46.4	80.48	7.09	15.5	30.29	1.76	1.02	6.36	26.04	8.88
GoMo-C093	2007	3	47.7	75.04	7.88	16.2	30.75	1.79	1.05	7.6	25.14	8.79
GoMo-C098	2007	1	61.3	73.18	5.77	13.1	29.97	1.55	1.08	6.1	25.39	11.98
GoMo-C098	2007	2	62.3	71.98	7.31	13.6	27.54	1.44	0.98	6.39	21.81	9.8
GoMo-C098	2007	3	63.8	70.62	7.98	13.7	28.51	1.27	0.82	5.41	21.84	8.94
GoMo-C099	2007	1	57	76.19	3	15.6	25.81	1.78	0.95	5.91	18.81	10.78
GoMo-C099	2007	2	55.8	74.64	3.5	17.4	24.9	2.07	1.01	6.68	18.33	12.38
GoMo-C099	2007	3	50.1	75.17	3.85	17.3	23.95	2.29	1.04	6.24	16.17	11.29
GoMo-C100	2007	1	34.5	84.39	5.4	11	26.01	1.4	0.87	3.54	21.07	15.55
GoMo-C100	2007	2	38.9	78.89	7.32	11.5	24.51	1.39	0.98	5.06	18.88	11.74
GoMo-C100	2007	3	37.8	77.67	8	12.1	23.09	1.6	0.93	5.12	16.11	9.69
GoMo-C101	2007	1	46.8	77	4.8	14.6	22.59	1.88	1.12	5.99	16.83	10.01
GoMo-C101	2007	2	47.5	74.77	5.05	14	23.09	1.84	1.11	6	18.11	10.51
GoMo-C101	2007	3	47.9	75.28	6.31	15.8	19.87	2.25	1.2	6.83	14.66	8.64
GoMo-C102	2007	1	37.5	69.01	5	11.9	26.56	1.6	0.6	4.88	21.53	7.15
GoMo-C102	2007	2	40.8	66.07	5.66	11.2	24.75	1.45	0.53	5.53	20.69	7.49
GoMo-C102	2007	3	46.4	66.6	6.91	11	24.23	1.52	0.47	5.72	21.43	5.85
GoMo-C103	2007	1	50.8	77.85	6.62	13.4	33.36	1.6	0.91	5.42	30.45	11.46
GoMo-C103	2007	2	49.3	74.74	8.19	14.5	29.31	1.76	0.98	6.25	26.06	9.6
GoMo-C103	2007	3	55.7	74	8.44	14.6	30.07	1.76	0.96	6.44	25.03	9.15
GoMo-C105	2007	1	53.9	86.95	4.08	11.5	30.69	1.19	0.63	4.89	23.27	8.98
GoMo-C105	2007	2	52.8	86	7.98	13.5	25.1	1.84	0.86	6.11	18.71	10.84
GoMo-C105	2007	3	55.8	85.01	8.16	14.1	24.87	1.95	0.96	6.58	18.64	10.34
GoMo-C106	2007	1	58.1	73.16	6.51	12.7	23.35	1.53	0.87	5.22	19.35	8
GoMo-C106	2007	2	62.3	71.71	7.6	14.1	22.16	1.5	0.81	8.41	19.78	8.06
GoMo-C106	2007	3	54.4	72.54	7	15	21.58	1.38	0.77	8.62	16.86	6.99
GoMo-C108	2007	1	56.9	69.44	5.42	13.3	33.54	1.5	0.62	6.27	30.14	6.76
GoMo-C108	2007	2	52.6	69.67	5.54	14.6	34.01	1.78	0.74	6.75	30.55	7.37
GoMo-C108	2007	3	60.5	68.8	7.32	14.5	33.84	1.57	0.7	7.82	30.89	7.75
GoMo-C109	2007	1	46.3	72.57	7.77	12.9	39.5	1.36	0.89	4.7	31.52	10.63
GoMo-C109	2007	2	43.8	71.42	8.56	12.9	39.02	1.36	0.89	4.89	32.5	8.87
GoMo-C109	2007	3	45.7	73.39	8.84	13.1	37.02	1.36	0.9	5.55	30.58	9.3
GoMo-C111	2007	1	82.2	82.52	5.41	9.8	30.11	1.63	0.94	3.58	24.76	8.28
GoMo-C111	2007	2	92.7	81.16	6.97	10.8	28.8	1.79	1.07	4.69	29.9	8.63
GoMo-C111	2007	3	90.8	77	8.04	11.5	28.23	1.8	1.02	5.13	26.78	7.27
GoMo-C112	2007	1	60.2	77.22	6.42	13.2	32.9	1.67	0.76	5	29.22	7.05
GoMo-C112	2007	2	51.6	74.28	7.85	13.4	29.29	1.61	0.72	5.73	26.27	6.2
GoMo-C112	2007	3	61	74.52	8.13	12.9	30.29	1.63	0.67	6.42	27.42	7.06
GoMo-C113	2007	1	55.9	72.03	6.31	14.3	24.52	1.6	0.78	4.55	20.08	8.41
GoMo-C113	2007	2	64.5	71.2	7.45	14.1	22.94	1.86	0.98	7.42	21.53	8
GoMo-C113	2007	3	47.8	64.99	7	14	19.63	1.95	0.93	7.46	19.73	6.94
